1.000000000000000000e+00	-2.170288182146124356e+01
2.000000000000000000e+00	-2.142313027489489485e+01
3.000000000000000000e+00	-2.114337872832854615e+01
4.000000000000000000e+00	-2.086362718176219744e+01
5.000000000000000000e+00	-2.058387563519584518e+01
6.000000000000000000e+00	-2.030412408862949647e+01
7.000000000000000000e+00	-1.987007548636043452e+01
8.000000000000000000e+00	-1.923384417080128728e+01
9.000000000000000000e+00	-1.859761285524214003e+01
1.000000000000000000e+01	-1.785392865222325653e+01
1.100000000000000000e+01	-1.707794197215423182e+01
1.200000000000000000e+01	-1.659564684413580693e+01
1.300000000000000000e+01	-1.614305392887057877e+01
1.400000000000000000e+01	-1.564567832817538218e+01
1.500000000000000000e+01	-1.510736362164354674e+01
1.600000000000000000e+01	-1.462611730086505268e+01
1.700000000000000000e+01	-1.424652934368886470e+01
1.800000000000000000e+01	-1.386694138651267849e+01
1.900000000000000000e+01	-1.345431955355953590e+01
2.000000000000000000e+01	-1.297647515241060034e+01
2.100000000000000000e+01	-1.249863075126166478e+01
2.200000000000000000e+01	-1.208605686068543150e+01
2.300000000000000000e+01	-1.168094842213685070e+01
2.400000000000000000e+01	-1.127583998358826989e+01
2.500000000000000000e+01	-1.096847424698185236e+01
2.600000000000000000e+01	-1.068461572015529626e+01
2.700000000000000000e+01	-1.040075719332873661e+01
2.800000000000000000e+01	-1.009706494682198041e+01
2.900000000000000000e+01	-9.594700235301672819e+00
3.000000000000000000e+01	-9.092335523781368778e+00
3.100000000000000000e+01	-8.589970812261061184e+00
3.200000000000000000e+01	-8.342097362166629892e+00
3.300000000000000000e+01	-8.095003512235624754e+00
3.400000000000000000e+01	-7.847909662304616063e+00
3.500000000000000000e+01	-7.577999458603663641e+00
3.600000000000000000e+01	-7.242191682734720359e+00
3.700000000000000000e+01	-6.906383906865773525e+00
3.800000000000000000e+01	-6.596026216591635460e+00
3.900000000000000000e+01	-6.359867703296650632e+00
4.000000000000000000e+01	-6.123709190001665803e+00
4.100000000000000000e+01	-5.853916416167038506e+00
4.200000000000000000e+01	-5.534125371777054880e+00
4.300000000000000000e+01	-5.214334327387071255e+00
4.400000000000000000e+01	-4.981978012458633032e+00
4.500000000000000000e+01	-4.773862503254054701e+00
4.600000000000000000e+01	-4.564013929565263084e+00
4.700000000000000000e+01	-4.341304993069460494e+00
4.800000000000000000e+01	-4.118596056573657904e+00
4.900000000000000000e+01	-3.906478377826822168e+00
5.000000000000000000e+01	-3.793164413772615262e+00
5.100000000000000000e+01	-3.679850449718408356e+00
5.200000000000000000e+01	-3.566536485664201450e+00
5.300000000000000000e+01	-3.346723646286708487e+00
5.400000000000000000e+01	-3.104363851429230436e+00
5.500000000000000000e+01	-2.862004056571752386e+00
5.600000000000000000e+01	-2.812060891785797878e+00
5.700000000000000000e+01	-2.765439340437019666e+00
5.800000000000000000e+01	-2.635667089385933082e+00
5.900000000000000000e+01	-2.399442684619533139e+00
6.000000000000000000e+01	-2.186923329915217096e+00
6.100000000000000000e+01	-2.010070290204634347e+00
6.200000000000000000e+01	-1.836512830833822107e+00
6.300000000000000000e+01	-1.721874050535713963e+00
6.400000000000000000e+01	-1.607235270237602265e+00
6.500000000000000000e+01	-1.527291303698326885e+00
6.600000000000000000e+01	-1.462438121899563015e+00
6.700000000000000000e+01	-1.397584940100799145e+00
6.800000000000000000e+01	-1.263522965993558955e+00
6.900000000000000000e+01	-1.112762607343352528e+00
7.000000000000000000e+01	-9.620022486931461003e-01
7.100000000000000000e+01	-8.761015119575716881e-01
7.200000000000000000e+01	-8.345287344912577510e-01
7.300000000000000000e+01	-7.929559570249473666e-01
7.400000000000000000e+01	-7.513831795586369822e-01
7.500000000000000000e+01	-6.660618535145204078e-01
7.600000000000000000e+01	-5.791424794154309552e-01
7.700000000000000000e+01	-4.922231053163415027e-01
7.800000000000000000e+01	-4.053037312172520501e-01
7.900000000000000000e+01	-3.239855939918960814e-01
8.000000000000000000e+01	-2.442241980826622694e-01
8.100000000000000000e+01	-1.644628021734320100e-01
8.200000000000000000e+01	-8.470140626420175067e-02
8.300000000000000000e+01	-4.940010354967938611e-03
8.400000000000000000e+01	0.000000000000000000e+00
8.500000000000000000e+01	-4.787015434815700132e-02
8.600000000000000000e+01	-9.574030869631400265e-02
8.700000000000000000e+01	-1.436104630444710040e-01
8.800000000000000000e+01	-1.789036386382036881e-01
8.900000000000000000e+01	-1.968998195404765283e-01
9.000000000000000000e+01	-2.125695081110521301e-01
9.100000000000000000e+01	-1.922809347431062577e-01
9.200000000000000000e+01	-1.712684546057765544e-01
9.300000000000000000e+01	-1.431870189489927725e-01
9.400000000000000000e+01	-1.151055832922054378e-01
9.500000000000000000e+01	-1.194996254597988639e-01
9.600000000000000000e+01	-1.521245581635390920e-01
9.700000000000000000e+01	-1.847494908672793201e-01
9.800000000000000000e+01	-2.173744235710195483e-01
9.900000000000000000e+01	-2.499993562747597764e-01
1.000000000000000000e+02	-3.161691536266033609e-01
1.010000000000000000e+02	-3.856210186329995793e-01
1.020000000000000000e+02	-4.550728836393957977e-01
1.030000000000000000e+02	-5.245247486457920161e-01
1.040000000000000000e+02	-6.348608407947295973e-01
1.050000000000000000e+02	-7.604618412048580467e-01
1.060000000000000000e+02	-8.860628416149900488e-01
1.070000000000000000e+02	-1.011663842025118498e+00
1.080000000000000000e+02	-1.047180125957332564e+00
1.090000000000000000e+02	-1.064402914373616227e+00
1.100000000000000000e+02	-1.081625702789899890e+00
1.110000000000000000e+02	-1.098848491206183553e+00
1.120000000000000000e+02	-1.267434329798938109e+00
